id_cliente,nombres,genero
1,No registrado,F
2,No registrado,M
3,Yolanda Álvarez,F
4,Vladimiro Carrasco,M
5,Aquiles Guerrero,M
6,Nemesio Ruiz,M
7,Carmelo Sánchez,M
8,Sofía Marín,F
9,Catalina Crespo,F
10,Onésimo Montoro,M
11,Nicodemo Pérez,M
12,Silvia Lorenzo,F
13,Calixto Velasco,M
14,Lidia Castro,F
15,Patricio Sáez,M
16,Eugenio Lorenzo,M
17,Eulalia Gallardo,F
18,Edmundo Garrido,M
19,Odón Molina,M
20,Celso Nieto,M
21,Eugenio Morales,M
22,Aurelia Moreno,F
23,Nicomedes Martínez,M
24,Claudia Lozano,F
25,Julio Domínguez,M
26,Yolanda Herrera,F
27,Mario Vicente,M
28,Clara Ortega,F
29,Alfredo Reyes,M
30,Blas Montero,M
31,Gonzalo Domínguez,M
32,Teófila Cruz,F
33,Aarón Gil,M
34,Blas Gutiérrez,M
35,Vanesa Suárez,F
36,Luisa Vázquez,F
37,Carmen Álvarez,F
38,Domingo Crespo,M
39,Joaquín Arias,M
40,Enrique Nieto,M
41,Pío Gil,M
42,Basileo Pérez,M
43,Benjamín Ibáñez,M
44,Narciso Ortega,M
45,Ireneo Calvo,M
46,Miqueas Gómez,M
47,Anastasia Cano,F
48,Amadeo Gómez,M
49,Josué Lozano,M
50,Francesc Méndez,M
51,Demócrito Ortiz,M
52,Ascensión Montoro,M
53,César Gallego,M
54,Andrés Santos,M
55,Rigoberto Serrano,M
56,Sansón Sánchez,M
57,Ángel León,M
58,Lina Vicente,V
59,Urbano Ortiz,M
60,Alipio Santos,M
61,Victorino Morales,M
62,Cosme Blesa,F
63,Josefina Gallego,F
64,Marta Ibáñez,F
65,Sara Velasco,F
66,Donato Alonso,M
67,Lorena Benítez,F
68,Úrsula Fernández,F
69,Elisa Alonso,F
70,Tadeo Moya,M
71,Demócrito Santana,M
72,Antonio Marín,M
73,Román Aguilar,M
74,Leonardo Ramírez,M
75,Jaume Núñez,M
76,Beltrán Santiago,M
77,Aureliano Moya,M
78,Gregorio Santiago,M
79,Simeón Ruiz,M
80,Alba Moreno,F
81,Toribio Durán,M
82,Julia Álvarez,F
83,Faustino Rey,M
84,Montserrat Rodríguez,F
85,Cleofás Hidalgo,M
86,Carlos Martínez,M
87,Reinaldo Hidalgo,M
88,Rosendo Sanz,M
89,Teófanes Román,M
90,Olga Gallardo,F
91,Susana Santos,F
92,Albert Gutiérrez,M
93,Laureano Molina,M
94,Jesús Torres,M
95,Timoteo Garrido,M
96,Cirilo Gil,M
97,Laura Sanz,F
98,Vanesa Velasco,F
99,Facundo Santiago,M
100,Isidro Durán,M
101,Abdón Bravo,M
102,Colombo Sánchez,M
103,María Fuentes,F
104,Dámaso Domínguez,M
105,Fausto Gil,M
106,Fabio Velasco,M
107,Dario Gil,M
108,Agustín Hernández,M
109,Inés Gómez,F
110,Isabel Santiago,F
111,Natalia Sanz,F
112,Cirilo Román,M
113,Donato Morales,M
